date,grade,name,station
1927-06-12,Vice-Sargento  1ro.,Guillermo Aguilera Pastene,11a. Com. Santiago
2023-04-06,Cabo 1ro.,Daniel Palma Yáñez,4a. Com. Santiago Central
2023-03-26,Sargento 2do.,Rita Olivares Raio,Tcia.  El Belloto
2023-03-14,Cabo 1ro.,Álex Onésimo Salazar Rodríguez,1a. Com. Concepción
2022-10-11,Sargento 2do.,Carlos Retamal Jaque,1a Com. San Antonio
2022-10-10,Cabo 1ro.,Gastón Antonio Hermosilla Saez,4a. Com. C.O.P. Los Álamos
2022-07-28,Carabinero,Eric Friz Contreras,39a. Com. El Bosque
2022-07-26,Suboficial Mayor,Carlos Alberto Vázquez Cisterna,3a. Com. Cañete
2022-06-10,Cabo 2do.,David Florido Cisterna,51a. Com. Pedro Aguirre Cerda
2022-06-01,Cabo 1ro.,Samuel Tisnao Rivas,61a. Com.  Cabo 2º Pablo Silva Pizarro
2022-05-05,Cabo 1ro.,Breant Rivas Manríquez,2a. Com. Chill&aacuten
2021-05-24,Sargento 1ro.,Francisco Benavides García,2a. Com. C.O.P. Pailahueque
2020-11-30,Cabo 2do.,Jeison Andana Parra,28a. Com. C.O.P. Oeste
2020-10-30,Cabo 2do.,Eugenio Nain Caniumil,2a. Com. Temuco
2020-01-12,Suboficial,Pablo Andrés Pineda Gutiérrez,3a. Com. Parral
2019-02-27,Cabo 2do.,Jorge Andrés Osores Valdes,Depto. Seguridad Presidencial O.S.8.
2019-01-29,Cabo 1ro.,Juan Guillermo Lagos Gutiérrez,26a. Com. Pudahuel
2018-12-15,Sargento 1ro.,Rodrigo Antonio Valenzuela Vargas,Tenencia Carretera Paine
2018-06-08,Cabo 1ro.,Óscar Galindo Saravia,41a. Com. La Pintana
2018-02-22,Sargento 2do.,Alex Alberto Rojas Rojas,Depto. O.S.9.
2018-01-14,Carabinero,Marco Antonio Palma Pallamar,47a. Com. Los Dominicos
2017-12-26,Cabo 1ro.,Marcelo Benjamín Cortés Negrete,25a. Com. Maipú
2017-12-16,Cabo 1ro.,Víctor Chavarría Acuña,4a. Com. Chaiten
2017-11-13,Sargento 1ro.,Job Bernabé Sanhueza Méndez,5a. Com. FF.EE. Concepción
2017-11-08,Sargento 2do.,José González Parra,1a. Com. Linares
2017-10-21,Carabinero,José Manuel Albornoz Vega,60a. Com. Metro de Santiago
2017-10-03,Sargento 1ro.,Alex Rodrigo Leal Cisterna,39a. Com. El Bosque
2017-03-13,Sargento 2do.,Luis Iván Chziscke Contreras,14a. Com. San Bernardo
2017-01-25,Sargento 1ro.,Freddy Fernández Garcés,2a. Com. Constituci&oacuten
2017-01-25,Cabo 1ro.,Mauricio Roca Sepúlveda,2a. Com. Constituci&oacuten
2017-01-12,Cabo 2do.,Hugo Omar Enrique Vergara Figueroa,5a. Com. Panguipulli
2017-01-12,Cabo 2do.,Reynner Alexis González Ceballo,5a. Com. Panguipulli
2016-12-21,Sargento 1ro.,Claudio Alejandro Molina Vásquez,1a. Com. Ancud
2016-11-13,Sargento 2do.,Yonny Alejandro Novoa Leal,ESUCAR
2016-11-11,Sargento 2do.,Hans Knopke Briones,1a. Com. La Serena
2016-11-11,Carabinero,Luis Gonzalo Díaz Manriquez,1a. Com. La Serena
2016-11-02,Cabo 1ro.,Rodrigo Alfredo Pérez Saldivia,7a. Com. Villarrica
2016-11-02,Carabinero,Anselmo Onofre Tocol Leimann,7a. Com. Villarrica
2016-08-30,Sargento 2do.,Heraldo Abraham Cisterna Carrasco,5a. Com. Puerto Montt
2016-08-24,Cabo 2do.,Ricardo Enrique Meriño Sanhueza,3a. Com. Traiguen
2016-08-01,Cabo 2do.,Alfredo Alexis Monsalve Sanhueza,20a. Com. Puente Alto
2015-12-31,Cabo 2do.,Angel Gabriel Cardenas Celedon,47a. Com. Los Dominicos
2015-11-24,Carabinero,Juan Sebastián Carrillo Carrillo,26a. Com. Pudahuel
